JOR0088, PRÉ-PROJETO EXPERIMENTAL EM JORNALISMO
JOR0089, TECNOLOGIA DE COMUNICAÇÃO
JOR0092, LEGISLAÇÃO E DIREITO A COMUNICAÇÃO
JOR0107, TÓPICOS ESPECIAIS EM COMUNICAÇÃO 1
JOR0109, TÓPICOS ESPECIAIS EM COMUNICAÇÃO 2
JOR0116, TÓPICOS ESPECIAIS EM COMUNICAÇÃO 6
JOR0132, OFICINA DE DIAGRAMAÇÃO
JOR0135, JORNALISMO LITERÁRIO
JOR0141, TEXTO JORNALÍSTICO
JOR0142, APURAÇÃO JORNALÍSTICA
JOR0143, JORNALISMO CIENTÍFICO
JOR0206, REVISTA CAMPUS REPÓRTER
DPG0760, INTRODUÇÃO A ALGEBRA
DPG1117, INTRODUÇÃO A ANÁLISE
MAT0010, GEOMETRIA ANALÍTICA PARA MATEMÁTICA
MAT0022, MATEMATICA 1
MAT0023, MATEMATICA 2
MAT0025, CÁLCULO 1
MAT0026, CÁLCULO 2
MAT0027, CÁLCULO 3
MAT0028, VARIAVEL COMPLEXA 1
MAT0031, INTRODUCAO A ALGEBRA LINEAR
MAT0034, ALGEBRA 1
MAT0038, TEORIA DOS NÚMEROS 1
MAT0039, ALGEBRA LINEAR
MAT0040, ALGEBRA 2
MAT0045, ANALISE 1
MAT0050, GEOMETRIA DIFERENCIAL 1
MAT0053, CALCULO NUMERICO
MAT0059, METODOS MATEMÁTICOS DA FÍSICA 1
MAT0060, HISTORIA DA MATEMATICA
MAT0066, SEMINÁRIO DE TÓPICOS EM ANÁLISE
MAT0075, CALCULO DE PROBABILIDADE 1
MAT0076, CALCULO DE PROBABILIDADE 2
MAT0080, INTRODUCAO A TEORIA DOS GRAFOS
MAT0087, SEMINARIO TOPICOS ESPECIAIS
MAT0106, ANALISE 3
MAT0107, ALGEBRA 3
MAT0111, GEOMETRIA 1
MAT0114, GEOMETRIA 2
MAT0117, SEMINÁRIO DE TÓPICOS EM MATEMÁTICA APLICADA
MAT0120, INTRODUÇÃO À TEORIA DE MEDIDA E INTEGRAÇÃO
MAT0122, ÁLGEBRA PARA O ENSINO 1
MAT0124, REGÊNCIA 2
MAT0129, GEOMETRIA PARA O ENSINO 1
MAT0131, GEOMETRIA PARA O ENSINO 2
MAT0134, ÁLGEBRA PARA O ENSINO 2
MAT0136, REGÊNCIA 1
MAT0137, CÁLCULO 1 - SEMIPRESENCIAL
MAT0143, INICIAÇÃO CIENTÍFICA EM MATEMÁTICA 2
MAT0144, INICIAÇÃO CIENTÍFICA EM MATEMÁTICA 3
SOL0032, SEMINÁRIO DE SOCIOLOGIA
SOL0037, SOCIOLOGIA BRASILEIRA
SOL0039, PRÁTICA DE PESQUISA 2 (DISSERTAÇÃO)
SOL0041, PRÁTICA DE PESQUISA 1
SOL0042, INTRODUÇÃO À SOCIOLOGIA
SOL0044, TEORIA SOCIOLÓGICA 1
SOL0058, SOCIOLOGIA DO CONHECIMENTO
SOL0062, PRÁTICA DE ENSINO EM CIÊNCIAS SOCIAIS
SOL0063, ESTRUTURA DE CLASSES E ESTRATIFICAÇÃO SOCIAL
SOL0087, SOCIOLOGIA DO DESENVOLVIMENTO RURAL
SOL0089, SOCIOLOGIA DA CULTURA
SOL0097, MÉTODOS SOCIOLÓGICOS
SOL0098, TÉCNICAS DE PESQUISA
SOL0103, TEORIAS SOCIOLÓGICAS CONTEMPORÂNEAS 1
SOL0104, TEORIAS SOCIOLÓGICAS CLÁSSICAS
SOL0105, TEORIAS SOCIOLÓGICAS MARXISTAS
SOL0106, TÓPICOS ESPECIAIS EM SOCIOLOGIA 2
SOL0107, TÓPICOS ESPECIAIS EM SOCIOLOGIA 3
SOL0109, TÓPICOS ESPECIAIS EM SOCIOLOGIA 5
SOL0110, TÓPICOS ESPECIAIS EM SOCIOLOGIA 6
